Month,Total consumption of coal in US (tonnes)
Dec 2022,
Oct 2022,33301.18205
Oct 2022,
Oct 2022,
Sep 2022,32390.58403
Aug 2022,38207.03492
Jul 2022,49318.31997
Jul 2022,
Jul 2022,
Jun 2022,50386.76376
May 2022,42639.74126
May 2022,
May 2022,
Apr 2022,36114.3013
Mar 2022,31802.18115
Mar 2022,
Mar 2022,
Feb 2022,35380.71247
Jan 2022,40880.44299
Dec 2021,49742.07001
Dec 2021,
Dec 2021,
Nov 2021,35436.35781
Oct 2021,33764.10842
Oct 2021,
Oct 2021,
Sep 2021,36462.16218
Aug 2021,45253.28493
Jul 2021,57086.25165
Jul 2021,
Jul 2021,
Jun 2021,57255.59579
May 2021,48809.63881
May 2021,
May 2021,
Apr 2021,36447.72079
Mar 2021,30852.38708
Mar 2021,
Mar 2021,
Feb 2021,35365.06094
Jan 2021,48814.56313
Dec 2020,46121.61967
Dec 2020,
Dec 2020,
Nov 2020,44452.34705
Oct 2020,35117.28392
Oct 2020,
Oct 2020,
Sep 2020,34726.89674
Aug 2020,39497.58984
Jul 2020,51243.229
Jul 2020,
Jul 2020,
Jun 2020,50601.183
May 2020,37331.388
May 2020,
May 2020,
Apr 2020,27559.10983
Mar 2020,24416.58793
Mar 2020,
Mar 2020,
Feb 2020,29892.45849
Jan 2020,33047.86315
Dec 2019,37866.86218
Dec 2019,
Dec 2019,
Nov 2019,41533.25276
Oct 2019,42925.55229
Oct 2019,
Oct 2019,
Sep 2019,38416.67815
Aug 2019,48102.55831
Jul 2019,53322.67327
Jul 2019,
Jul 2019,
Jun 2019,56812.82603
May 2019,45168.23731
May 2019,
May 2019,
Apr 2019,40955.83996
Mar 2019,34362.0371
Mar 2019,
Mar 2019,
Feb 2019,45088.15094
Jan 2019,46183.27776
Dec 2018,57145.62408
Dec 2018,
Dec 2018,
Nov 2018,56853.2424
Oct 2018,52868.20013
Oct 2018,
Oct 2018,
Sep 2018,49406.15903
Aug 2018,54974.86028
Jul 2018,64800.95232
Jul 2018,
Jul 2018,
Jun 2018,64895.29305
May 2018,57159.0309
May 2018,
May 2018,
Apr 2018,48373.91032
Mar 2018,41609.99871
Mar 2018,
Mar 2018,
Feb 2018,45727.86769
Jan 2018,47078.51712
Dec 2017,66278.57804
Dec 2017,
Dec 2017,
Nov 2017,59742.22512
Oct 2017,52142.84926
Oct 2017,
Oct 2017,
Sep 2017,51238.51687
Aug 2017,55815.11915
Jul 2017,66975.97342
Jul 2017,
Jul 2017,
Jun 2017,70972.04896
May 2017,60004.32341
May 2017,
May 2017,
Apr 2017,52034.07445
Mar 2017,45407.41255
Mar 2017,
Mar 2017,
Feb 2017,50132.4864
Jan 2017,49182.89785
Dec 2016,64930.07838
Dec 2016,
Dec 2016,
Nov 2016,66362.0941
Oct 2016,49331.4467
Oct 2016,
Oct 2016,
Sep 2016,55797.54683
Aug 2016,63592.0798
Jul 2016,75231.50548
Jul 2016,
Jul 2016,
Jun 2016,75604.03209
May 2016,64539.28197
May 2016,
May 2016,
Apr 2016,46296.50577
Mar 2016,40280.09926
Mar 2016,
Mar 2016,
Feb 2016,41296.98144
Jan 2016,52018.87348
Dec 2015,63607.15444
Dec 2015,
Dec 2015,
Nov 2015,51587.16021
Oct 2015,50263.54843
Oct 2015,
Oct 2015,
Sep 2015,54904.0846
